{'device_time_stamp': 254922764274, 'system_time_stamp': 184318791173, 'left_gaze_point_on_display_area': (0.09651084244251251, 0.19490058720111847), 'left_gaze_point_in_user_coordinate_system': (-208.8680877685547, 258.04901123046875, 83.28042602539062), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.199981689453125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.480918884277344, 13.04503059387207, 667.0459594726562), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5450592041015625, 0.4777703881263733, 0.48861613869667053), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11154762655496597, 0.1670960783958435), 'right_gaze_point_in_user_coordinate_system': (-200.92007446289062, 266.68048095703125, 86.42205810546875), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.247406005859375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.90966033935547, 15.087787628173828, 656.5841674804688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42178258299827576, 0.4729086458683014, 0.4675882160663605), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922780940, 'system_time_stamp': 184318807795, 'left_gaze_point_on_display_area': (0.09452942758798599, 0.20326538383960724), 'left_gaze_point_in_user_coordinate_system': (-209.91542053222656, 255.45228576660156, 82.3353271484375), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2079010009765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.641456604003906, 13.038924217224121, 666.8987426757812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5453927516937256, 0.477772057056427, 0.4883076548576355), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11557808518409729, 0.15992075204849243), 'right_gaze_point_in_user_coordinate_system': (-198.78968811035156, 268.907958984375, 87.23272705078125), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.2415771484375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.736534118652344, 15.113255500793457, 656.6981811523438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4221493899822235, 0.47286489605903625, 0.46781617403030396), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922797607, 'system_time_stamp': 184318824407, 'left_gaze_point_on_display_area': (0.0896855965256691, 0.19810441136360168), 'left_gaze_point_in_user_coordinate_system': (-212.4757080078125, 257.054443359375, 82.91836547851562), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2017822265625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.78664207458496, 13.029728889465332, 667.0357055664062), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5456787347793579, 0.4778002202510834, 0.48861509561538696), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11383829265832901, 0.16499288380146027), 'right_gaze_point_in_user_coordinate_system': (-199.7092742919922, 267.3334045410156, 86.65960693359375), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.22113037109375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.551116943359375, 15.133092880249023, 656.69482421875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4225296676158905, 0.4728233516216278, 0.4677877724170685), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922814274, 'system_time_stamp': 184318841013, 'left_gaze_point_on_display_area': (0.08675966411828995, 0.20556901395320892), 'left_gaze_point_in_user_coordinate_system': (-214.02227783203125, 254.73719787597656, 82.0749282836914), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2077178955078125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.95735740661621, 13.0381498336792, 667.0597534179688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5460229516029358, 0.47778451442718506, 0.48868051171302795), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11238764971494675, 0.17530585825443268), 'right_gaze_point_in_user_coordinate_system': (-200.47604370117188, 264.13189697265625, 85.4943618774414), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.2343902587890625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.386871337890625, 15.178357124328613, 656.8331298828125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4228804409503937, 0.4727407395839691, 0.46807146072387695), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922830940, 'system_time_stamp': 184318857671, 'left_gaze_point_on_display_area': (0.09590456634759903, 0.208579882979393), 'left_gaze_point_in_user_coordinate_system': (-209.1885223388672, 253.80250549316406, 81.7347412109375), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.211029052734375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.133955001831055, 13.04357624053955, 667.1824951171875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5463732481002808, 0.47778192162513733, 0.4889605939388275), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.114965058863163, 0.17370223999023438), 'right_gaze_point_in_user_coordinate_system': (-199.11370849609375, 264.62969970703125, 85.67557525634766), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.2320709228515625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.2374267578125, 15.206382751464844, 656.814453125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4231853187084198, 0.4726811945438385, 0.46801504492759705), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922847607, 'system_time_stamp': 184318874337, 'left_gaze_point_on_display_area': (0.09674423933029175, 0.1973738968372345), 'left_gaze_point_in_user_coordinate_system': (-208.74472045898438, 257.2812194824219, 83.00096130371094), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2083740234375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.25183868408203, 13.009406089782715, 667.382568359375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5466000437736511, 0.4778653085231781, 0.48940110206604004), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1179378554224968, 0.17086385190486908), 'right_gaze_point_in_user_coordinate_system': (-197.5423583984375, 265.5108642578125, 85.99628448486328), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.2164459228515625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (37.1109733581543, 15.199321746826172, 656.9713745117188), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4234602451324463, 0.4727080464363098, 0.4683394730091095), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922864276, 'system_time_stamp': 184318891005, 'left_gaze_point_on_display_area': (0.09539845585823059, 0.19243483245372772), 'left_gaze_point_in_user_coordinate_system': (-209.4560546875, 258.8144836425781, 83.55897521972656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.19537353515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.377182006835938, 12.942525863647461, 667.200927734375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5468646883964539, 0.47798800468444824, 0.48901113867759705), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11868160218000412, 0.17131133377552032), 'right_gaze_point_in_user_coordinate_system': (-197.1492462158203, 265.3719177246094, 85.94571685791016), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1934967041015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.9844970703125, 15.16383171081543, 657.0089111328125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4237235486507416, 0.4727839529514313, 0.468402624130249), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922880943, 'system_time_stamp': 184318907662, 'left_gaze_point_on_display_area': (0.09541366249322891, 0.19359712302684784), 'left_gaze_point_in_user_coordinate_system': (-209.44802856445312, 258.45367431640625, 83.42768096923828), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1855316162109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.478519439697266, 12.962139129638672, 667.4395751953125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5470554232597351, 0.4779648780822754, 0.48953843116760254), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11485447734594345, 0.16903620958328247), 'right_gaze_point_in_user_coordinate_system': (-199.17214965820312, 266.0782165527344, 86.2027359008789), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1756591796875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.88783264160156, 15.207324028015137, 657.1036376953125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4239310622215271, 0.47270166873931885, 0.4686000645160675), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922897610, 'system_time_stamp': 184318924319, 'left_gaze_point_on_display_area': (0.09955252707004547, 0.21467149257659912), 'left_gaze_point_in_user_coordinate_system': (-207.26034545898438, 251.9114532470703, 81.0464859008789), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1815643310546875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.591644287109375, 13.022651672363281, 667.2457275390625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5472959280014038, 0.47782808542251587, 0.4891307055950165), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12337008118629456, 0.16976112127304077), 'right_gaze_point_in_user_coordinate_system': (-194.67105102539062, 265.8531799316406, 86.12085723876953), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.196319580078125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.76096725463867, 15.264074325561523, 656.963134765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4241776764392853, 0.47257328033447266, 0.46828481554985046), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922914274, 'system_time_stamp': 184318940972, 'left_gaze_point_on_display_area': (0.09848005324602127, 0.1950065940618515), 'left_gaze_point_in_user_coordinate_system': (-207.8271942138672, 258.01611328125, 83.26844024658203), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.195220947265625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.625205993652344, 13.058258056640625, 667.144775390625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5473698973655701, 0.4777485132217407, 0.48891681432724), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1318008005619049, 0.16475887596607208), 'right_gaze_point_in_user_coordinate_system': (-190.21482849121094, 267.40606689453125, 86.68608093261719), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1850128173828125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.72488784790039, 15.323588371276855, 657.169921875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4242716133594513, 0.4724670350551605, 0.46873393654823303), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922930941, 'system_time_stamp': 184318957637, 'left_gaze_point_on_display_area': (0.11912839859724045, 0.20590955018997192), 'left_gaze_point_in_user_coordinate_system': (-196.91307067871094, 254.6314697265625, 82.03648376464844), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.200897216796875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.664308547973633, 13.085817337036133, 667.2654418945312), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5474416613578796, 0.4777010381221771, 0.48918378353118896), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1348946988582611, 0.15953047573566437), 'right_gaze_point_in_user_coordinate_system': (-188.5794677734375, 269.0290832519531, 87.27686309814453), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.17724609375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (36.69426727294922, 15.34054946899414, 656.9920654296875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4243171811103821, 0.47241783142089844, 0.46834596991539), 'right_gaze_origin_validity': 1}
