{'device_time_stamp': 255866798825, 'system_time_stamp': 256158154355, 'left_gaze_point_on_display_area': (0.16517670452594757, 0.19062183797359467), 'left_gaze_point_in_user_coordinate_system': (-172.57325744628906, 259.3772888183594, 83.76384735107422), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2129058837890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.153789520263672, -6.426916599273682, 656.6629638671875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5511801838874817, 0.5171835422515869, 0.46539637446403503), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866815491, 'system_time_stamp': 256158171062, 'left_gaze_point_on_display_area': (0.1571580320596695, 0.1838054209947586), 'left_gaze_point_in_user_coordinate_system': (-176.8116912841797, 261.49334716796875, 84.53401947021484), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2154083251953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.269805908203125, -6.371440410614014, 656.9166259765625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5514013171195984, 0.5170722603797913, 0.4659576416015625), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866832165, 'system_time_stamp': 256158187791, 'left_gaze_point_on_display_area': (0.1633838415145874, 0.19401510059833527), 'left_gaze_point_in_user_coordinate_system': (-173.5209197998047, 258.32391357421875, 83.38040924072266), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2082366943359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.42005157470703, -6.343536853790283, 656.7353515625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5517215132713318, 0.5170121192932129, 0.465576708316803), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866848832, 'system_time_stamp': 256158204519, 'left_gaze_point_on_display_area': (0.156624436378479, 0.18707267940044403), 'left_gaze_point_in_user_coordinate_system': (-177.09375, 260.47906494140625, 84.16487884521484), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1831207275390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.603282928466797, -6.312588691711426, 657.1389770507812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5520702004432678, 0.5169532895088196, 0.46646928787231445), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866865498, 'system_time_stamp': 256158221202, 'left_gaze_point_on_display_area': (0.16060446202754974, 0.1953294426202774), 'left_gaze_point_in_user_coordinate_system': (-174.99002075195312, 257.9159240722656, 83.23191833496094), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2033843994140625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.805906295776367, -6.31557559967041, 657.5177612304688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5524600148200989, 0.5169640779495239, 0.46730902791023254), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866882165, 'system_time_stamp': 256158237875, 'left_gaze_point_on_display_area': (0.15932409465312958, 0.19242247939109802), 'left_gaze_point_in_user_coordinate_system': (-175.66677856445312, 258.81829833984375, 83.56033325195312), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.154388427734375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.993194580078125, -6.339598655700684, 657.6109619140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5528375506401062, 0.5170144438743591, 0.46752703189849854), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866898832, 'system_time_stamp': 256158254547, 'left_gaze_point_on_display_area': (0.1596255749464035, 0.18508952856063843), 'left_gaze_point_in_user_coordinate_system': (-175.5074462890625, 261.0947265625, 84.3889389038086), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.183990478515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.132553100585938, -6.351088047027588, 657.3478393554688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5531412363052368, 0.5170343518257141, 0.46696725487709045), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866915499, 'system_time_stamp': 256158271211, 'left_gaze_point_on_display_area': (0.15967772901058197, 0.17840129137039185), 'left_gaze_point_in_user_coordinate_system': (-175.4798583984375, 263.17095947265625, 85.1446533203125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1417388916015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.24309730529785, -6.341554641723633, 657.8778076171875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5533313751220703, 0.5170214772224426, 0.468127965927124), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866932165, 'system_time_stamp': 256158287871, 'left_gaze_point_on_display_area': (0.15026170015335083, 0.18353480100631714), 'left_gaze_point_in_user_coordinate_system': (-180.4569091796875, 261.5773620605469, 84.5645751953125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.120880126953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.329853057861328, -6.329620361328125, 657.6544189453125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5535244941711426, 0.5169938802719116, 0.46765029430389404), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866948832, 'system_time_stamp': 256158304531, 'left_gaze_point_on_display_area': (0.16457486152648926, 0.1874496340751648), 'left_gaze_point_in_user_coordinate_system': (-172.89138793945312, 260.362060546875, 84.1222915649414), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1755218505859375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.42822265625, -6.339564800262451, 657.7903442382812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5537166595458984, 0.5170159339904785, 0.4679538905620575), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866965502, 'system_time_stamp': 256158321204, 'left_gaze_point_on_display_area': (0.15746472775936127, 0.17843636870384216), 'left_gaze_point_in_user_coordinate_system': (-176.64959716796875, 263.16009521484375, 85.1406021118164), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.153350830078125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.481399536132812, -6.357637405395508, 657.845703125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5538218021392822, 0.5170537829399109, 0.46807861328125), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866982168, 'system_time_stamp': 256158337874, 'left_gaze_point_on_display_area': (0.15659156441688538, 0.18272309005260468), 'left_gaze_point_in_user_coordinate_system': (-177.11111450195312, 261.8293151855469, 84.65632629394531), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1411285400390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.555200576782227, -6.3655524253845215, 657.67236328125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5539851188659668, 0.5170676708221436, 0.46770840883255005), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866998835, 'system_time_stamp': 256158354545, 'left_gaze_point_on_display_area': (0.16054904460906982, 0.1850818693637848), 'left_gaze_point_in_user_coordinate_system': (-175.01931762695312, 261.0970764160156, 84.38980102539062), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1656951904296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.65723419189453, -6.363284111022949, 657.83154296875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5541830658912659, 0.5170649290084839, 0.46806296706199646), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255867015501, 'system_time_stamp': 256158371209, 'left_gaze_point_on_display_area': (0.1523468792438507, 0.18657690286636353), 'left_gaze_point_in_user_coordinate_system': (-179.354736328125, 260.63299560546875, 84.22085571289062), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1452178955078125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.73302459716797, -6.35651969909668, 657.9207763671875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5543320775032043, 0.5170520544052124, 0.46826356649398804), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255867032168, 'system_time_stamp': 256158387872, 'left_gaze_point_on_display_area': (0.16459622979164124, 0.18212932348251343), 'left_gaze_point_in_user_coordinate_system': (-172.88009643554688, 262.0136413574219, 84.72344207763672), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.152252197265625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.861961364746094, -6.369739532470703, 657.8148193359375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5546036958694458, 0.517077624797821, 0.4680445194244385), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255867048835, 'system_time_stamp': 256158404534, 'left_gaze_point_on_display_area': (0.15268197655677795, 0.17271506786346436), 'left_gaze_point_in_user_coordinate_system': (-179.17762756347656, 264.9361877441406, 85.78704833984375), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.14886474609375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-26.928878784179688, -6.372903823852539, 658.1444702148438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5547175407409668, 0.5170882940292358, 0.46876633167266846), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
