{'device_time_stamp': 111502844455, 'system_time_stamp': 111795390104, 'left_gaze_point_on_display_area': (0.3276970088481903, 0.26529672741889954), 'left_gaze_point_in_user_coordinate_system': (-86.66967010498047, 236.19564819335938, 75.326416015625), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9073333740234375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.83858871459961, 26.95770835876465, 634.6998901367188), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5224910378456116, 0.4456891417503357, 0.419166624546051), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.31609803438186646, 0.26178643107414246), 'right_gaze_point_in_user_coordinate_system': (-92.8005599975586, 237.2853546142578, 75.72309112548828), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.950408935546875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.442020416259766, 25.561382293701172, 632.1851806640625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.38157644867897034, 0.4485107362270355, 0.418545663356781), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502861121, 'system_time_stamp': 111795406764, 'left_gaze_point_on_display_area': (0.32585883140563965, 0.26541200280189514), 'left_gaze_point_in_user_coordinate_system': (-87.64128875732422, 236.15988159179688, 75.31336212158203), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9107818603515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.90904426574707, 26.985374450683594, 634.9981689453125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5226280689239502, 0.4456670880317688, 0.41981983184814453), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.31435680389404297, 0.2535552978515625), 'right_gaze_point_in_user_coordinate_system': (-93.72090911865234, 239.840576171875, 76.6530532836914), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.94866943359375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.364356994628906, 25.565927505493164, 631.940673828125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.38168981671333313, 0.44847145676612854, 0.4180028438568115), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502877788, 'system_time_stamp': 111795423418, 'left_gaze_point_on_display_area': (0.3249058425426483, 0.2758134603500366), 'left_gaze_point_in_user_coordinate_system': (-88.14500427246094, 232.93089294433594, 74.13817596435547), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9103240966796875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.967716217041016, 26.99822998046875, 634.85009765625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5227583646774292, 0.4456210732460022, 0.41950246691703796), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3112040162086487, 0.26183947920799255), 'right_gaze_point_in_user_coordinate_system': (-95.38739013671875, 237.26889038085938, 75.71704864501953), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.954833984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.274322509765625, 25.55830192565918, 631.6317138671875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3818160891532898, 0.44845032691955566, 0.4173170030117035), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502894455, 'system_time_stamp': 111795440071, 'left_gaze_point_on_display_area': (0.3260189890861511, 0.27193424105644226), 'left_gaze_point_in_user_coordinate_system': (-87.55663299560547, 234.13514709472656, 74.57644653320312), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9008331298828125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-11.032556533813477, 27.00384521484375, 634.8255004882812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5228965878486633, 0.4456058442592621, 0.41945216059684753), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3175911009311676, 0.25672653317451477), 'right_gaze_point_in_user_coordinate_system': (-92.01136779785156, 238.8561248779297, 76.29479217529297), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.94720458984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.251792907714844, 25.601627349853516, 632.2730102539062), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3819989264011383, 0.4484347999095917, 0.4187047481536865), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502911121, 'system_time_stamp': 111795456731, 'left_gaze_point_on_display_area': (0.3266441226005554, 0.2706620395183563), 'left_gaze_point_in_user_coordinate_system': (-87.2262191772461, 234.53009033203125, 74.72022247314453), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.881500244140625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-11.116186141967773, 27.0047664642334, 635.0116577148438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.523065984249115, 0.4456268846988678, 0.419859379529953), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3127238154411316, 0.2603878378868103), 'right_gaze_point_in_user_coordinate_system': (-94.58406829833984, 237.7195281982422, 75.8810806274414), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9583282470703125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.18073272705078, 25.5943603515625, 632.149658203125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3821239471435547, 0.44843536615371704, 0.4184238612651825), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502927788, 'system_time_stamp': 111795473397, 'left_gaze_point_on_display_area': (0.2558490037918091, 0.24462765455245972), 'left_gaze_point_in_user_coordinate_system': (-124.64646911621094, 242.61204528808594, 77.6617660522461), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.927886962890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-11.464096069335938, 26.979022979736328, 635.1658935546875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5237959027290344, 0.4457002580165863, 0.4202041029930115), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.24880895018577576, 0.2449467033147812), 'right_gaze_point_in_user_coordinate_system': (-128.36764526367188, 242.5129852294922, 77.6257553100586), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.007080078125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (54.771732330322266, 25.56585693359375, 632.17236328125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3829977214336395, 0.4484982192516327, 0.41839346289634705), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502944455, 'system_time_stamp': 111795490062, 'left_gaze_point_on_display_area': (0.12190700322389603, 0.21840234100818634), 'left_gaze_point_in_user_coordinate_system': (-195.44439697265625, 250.7532501220703, 80.62496185302734), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.90264892578125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-11.942373275756836, 26.992555618286133, 635.4808959960938), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5247939825057983, 0.4457094073295593, 0.420908123254776), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.13712123036384583, 0.23005200922489166), 'right_gaze_point_in_user_coordinate_system': (-187.40257263183594, 247.1368408203125, 79.30863189697266), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.0124053955078125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (54.21333312988281, 25.575111389160156, 632.208740234375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3841915726661682, 0.44848161935806274, 0.41837024688720703), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502961121, 'system_time_stamp': 111795506728, 'left_gaze_point_on_display_area': (0.10348294675350189, 0.2179110199213028), 'left_gaze_point_in_user_coordinate_system': (-205.1828155517578, 250.9058074951172, 80.68045043945312), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.92864990234375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-12.100427627563477, 27.018571853637695, 635.6527099609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5251204967498779, 0.44567498564720154, 0.42129066586494446), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.09837976843118668, 0.23234720528125763), 'right_gaze_point_in_user_coordinate_system': (-207.88021850585938, 246.42430114746094, 79.04936981201172), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.0326385498046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (54.009056091308594, 25.570770263671875, 632.2620239257812), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3846365213394165, 0.44849687814712524, 0.4184476137161255), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502977792, 'system_time_stamp': 111795523402, 'left_gaze_point_on_display_area': (0.11678942292928696, 0.22740250825881958), 'left_gaze_point_in_user_coordinate_system': (-198.14938354492188, 247.9593048095703, 79.60807037353516), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9166717529296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-12.193302154541016, 26.98748779296875, 635.7276611328125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5253135561943054, 0.44575032591819763, 0.42145320773124695), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.10188274085521698, 0.2304297834634781), 'right_gaze_point_in_user_coordinate_system': (-206.0286407470703, 247.01954650878906, 79.26603698730469), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.0027313232421875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (53.9752082824707, 25.556495666503906, 632.5803833007812), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3847738802433014, 0.44856563210487366, 0.4191281497478485), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502994458, 'system_time_stamp': 111795540070, 'left_gaze_point_on_display_area': (0.11680465936660767, 0.2394728809595108), 'left_gaze_point_in_user_coordinate_system': (-198.14134216308594, 244.21224975585938, 78.24420928955078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9096527099609375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-12.331515312194824, 26.923999786376953, 635.5985107421875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5256117582321167, 0.4458693265914917, 0.421170711517334), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.10453662276268005, 0.23740419745445251), 'right_gaze_point_in_user_coordinate_system': (-204.62586975097656, 244.85446166992188, 78.47791290283203), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.00604248046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (53.845664978027344, 25.479366302490234, 632.3759765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.38500720262527466, 0.44870585203170776, 0.41865313053131104), 'right_gaze_origin_validity': 1}
