{'device_time_stamp': 171370914181, 'system_time_stamp': 102651177195, 'left_gaze_point_on_display_area': (0.1146116778254509, 0.20911432802677155), 'left_gaze_point_in_user_coordinate_system': (-199.30050659179688, 253.63658142089844, 81.67445373535156), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.45361328125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-17.595483779907227, -2.2221717834472656, 658.7938232421875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5355702638626099, 0.5085801482200623, 0.4695833921432495), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11522744596004486, 0.2243274748325348), 'right_gaze_point_in_user_coordinate_system': (-198.97503662109375, 248.91390991210938, 79.95550537109375), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4709014892578125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (46.443206787109375, 3.0024452209472656, 651.2017822265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4036135971546173, 0.4976254999637604, 0.4563208520412445), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370930848, 'system_time_stamp': 102651193859, 'left_gaze_point_on_display_area': (0.10984722524881363, 0.2223377376794815), 'left_gaze_point_in_user_coordinate_system': (-201.81881713867188, 249.53160095214844, 80.1802749633789), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.4548187255859375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-17.755937576293945, -2.2265238761901855, 658.9282836914062), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5358921885490417, 0.5085923075675964, 0.4698847234249115), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11827591806650162, 0.21792246401309967), 'right_gaze_point_in_user_coordinate_system': (-197.36367797851562, 250.90225219726562, 80.6792221069336), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4834136962890625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (46.270118713378906, 3.0113792419433594, 651.154296875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4039658308029175, 0.4976045787334442, 0.4561920166015625), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370947514, 'system_time_stamp': 102651210520, 'left_gaze_point_on_display_area': (0.11627371609210968, 0.21814683079719543), 'left_gaze_point_in_user_coordinate_system': (-198.4219970703125, 250.83258056640625, 80.65386199951172), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.4179534912109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-17.925174713134766, -2.237330436706543, 658.7744140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5362455248832703, 0.5086102485656738, 0.469559907913208), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11183153092861176, 0.2221359759569168), 'right_gaze_point_in_user_coordinate_system': (-200.77001953125, 249.59425354003906, 80.20304107666016), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4885711669921875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (46.11520767211914, 3.0155725479125977, 650.9986572265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40426719188690186, 0.49758899211883545, 0.4558311104774475), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370964181, 'system_time_stamp': 102651227181, 'left_gaze_point_on_display_area': (0.10746823996305466, 0.20794053375720978), 'left_gaze_point_in_user_coordinate_system': (-203.07632446289062, 254.00096130371094, 81.80702209472656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.398040771484375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.028329849243164, -2.242762565612793, 658.9124755859375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5364500880241394, 0.508624792098999, 0.4698658883571625), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11329479515552521, 0.21929137408733368), 'right_gaze_point_in_user_coordinate_system': (-199.99658203125, 250.477294921875, 80.5245132446289), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.44427490234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.98812484741211, 3.0260117053985596, 651.1934814453125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40455418825149536, 0.4975753724575043, 0.45623475313186646), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370980847, 'system_time_stamp': 102651243846, 'left_gaze_point_on_display_area': (0.11279343068599701, 0.20485912263393402), 'left_gaze_point_in_user_coordinate_system': (-200.26156616210938, 254.95755004882812, 82.15518188476562), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.381561279296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.139297485351562, -2.2373087406158447, 658.7498168945312), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5366846919059753, 0.5086092352867126, 0.46951916813850403), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11550973355770111, 0.221474751830101), 'right_gaze_point_in_user_coordinate_system': (-198.82579040527344, 249.7995147705078, 80.27776336669922), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4248199462890625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.89539337158203, 3.0436997413635254, 651.1820678710938), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40474462509155273, 0.49753788113594055, 0.456196665763855), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370997514, 'system_time_stamp': 102651260512, 'left_gaze_point_on_display_area': (0.112548828125, 0.21541059017181396), 'left_gaze_point_in_user_coordinate_system': (-200.39085388183594, 251.68202209472656, 80.96296691894531), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.4162139892578125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.197914123535156, -2.2137768268585205, 659.094970703125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5367881655693054, 0.508569598197937, 0.4702732264995575), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1195191964507103, 0.22679241001605988), 'right_gaze_point_in_user_coordinate_system': (-196.70651245117188, 248.14871215820312, 79.67699432373047), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4329833984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.81080627441406, 3.08004093170166, 651.3831176757812), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40494418144226074, 0.49747082591056824, 0.45662152767181396), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171371014181, 'system_time_stamp': 102651277178, 'left_gaze_point_on_display_area': (0.1134796068072319, 0.2077474147081375), 'left_gaze_point_in_user_coordinate_system': (-199.89886474609375, 254.06094360351562, 81.82879638671875), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.4002532958984375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.275981903076172, -2.1795437335968018, 659.1627197265625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.536944568157196, 0.508500874042511, 0.47042593359947205), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11450792849063873, 0.2215656042098999), 'right_gaze_point_in_user_coordinate_system': (-199.35531616210938, 249.771240234375, 80.26760864257812), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4187774658203125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.743202209472656, 3.1439950466156006, 651.440673828125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40509095788002014, 0.49734020233154297, 0.4567389488220215), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171371030849, 'system_time_stamp': 102651293845, 'left_gaze_point_on_display_area': (0.115500308573246, 0.19314879179000854), 'left_gaze_point_in_user_coordinate_system': (-198.83079528808594, 258.5928649902344, 83.47827911376953), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.3550567626953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.32296371459961, -2.1001076698303223, 659.267822265625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5370354056358337, 0.5083402991294861, 0.4706593453884125), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11619351804256439, 0.22629234194755554), 'right_gaze_point_in_user_coordinate_system': (-198.46437072753906, 248.30397033691406, 79.73344421386719), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4285125732421875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.6978759765625, 3.2307779788970947, 651.7301025390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4052198529243469, 0.4971722364425659, 0.45736363530158997), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171371047515, 'system_time_stamp': 102651310509, 'left_gaze_point_on_display_area': (0.10892613232135773, 0.19234994053840637), 'left_gaze_point_in_user_coordinate_system': (-202.30567932128906, 258.8408508300781, 83.56855773925781), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.35357666015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.378536224365234, -1.9655388593673706, 659.5538940429688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5371350646018982, 0.5080713033676147, 0.4712879955768585), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.10277897119522095, 0.21812935173511505), 'right_gaze_point_in_user_coordinate_system': (-205.55491638183594, 250.8380126953125, 80.6557846069336), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.431488037109375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.65312957763672, 3.411587953567505, 652.0338134765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4053490459918976, 0.4968096911907196, 0.4580236077308655), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171371064181, 'system_time_stamp': 102651327174, 'left_gaze_point_on_display_area': (0.09319446235895157, 0.2129545658826828), 'left_gaze_point_in_user_coordinate_system': (-210.62100219726562, 252.4444580078125, 81.24046325683594), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.3609466552734375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-18.401256561279297, -1.8051612377166748, 659.7085571289062), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5371738076210022, 0.5077461004257202, 0.47162991762161255), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.08945316076278687, 0.22675366699695587), 'right_gaze_point_in_user_coordinate_system': (-212.59857177734375, 248.1607208251953, 79.68136596679688), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4260406494140625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (45.59105682373047, 3.596583366394043, 652.410400390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40552276372909546, 0.4964420199394226, 0.4588393568992615), 'right_gaze_origin_validity': 1}
